City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,290.98,91,20,4.63,ZA,1670265616
1,asau,46.4333,26.4,271.66,99,100,1.47,RO,1670265617
2,vaini,-21.2,-175.2,297.24,94,75,2.06,TO,1670265617
3,ponta delgada,37.7333,-25.6667,290.1,82,75,7.72,PT,1670265617
4,barrow,71.2906,-156.7887,276.16,70,0,14.4,US,1670265618
5,port lincoln,-34.7333,135.8667,288.16,71,100,6.24,AU,1670265618
6,arraial do cabo,-22.9661,-42.0278,302.13,65,20,8.23,BR,1670265618
7,port alfred,-33.5906,26.891,288.81,90,0,0.89,ZA,1670265610
8,hobart,-42.8794,147.3294,284.07,71,75,7.2,AU,1670265316
9,ponta do sol,32.6667,-17.1,292.5,75,98,2.27,PT,1670265619
10,maragogi,-9.0122,-35.2225,299.2,81,86,5.21,BR,1670265619
11,batagay,67.6333,134.6333,245.41,98,100,1.34,RU,1670265619
12,mataura,-46.1927,168.8643,283.42,100,100,1.45,NZ,1670265620
13,kodiak,57.79,-152.4072,275.88,93,100,0.0,US,1670265491
14,namibe,-15.1961,12.1522,294.77,76,4,2.77,AO,1670265620
15,punta arenas,-53.15,-70.9167,283.16,57,75,9.26,CL,1670265459
16,puerto ayora,-0.7393,-90.3518,300.13,86,70,2.24,EC,1670265620
17,mar del plata,-38.0023,-57.5575,307.5,82,0,7.15,AR,1670265467
18,tokonou,9.65,-9.7833,298.86,56,100,0.9,GN,1670265621
19,hithadhoo,-0.6,73.0833,300.65,75,100,3.41,MV,1670265621
20,jamestown,42.097,-79.2353,280.68,31,0,5.14,US,1670265344
21,marawi,7.9986,124.2928,293.11,93,100,0.41,PH,1670265621
22,abnub,27.2696,31.1511,292.27,51,0,4.36,EG,1670265622
23,rikitea,-23.1203,-134.9692,297.24,81,100,6.02,PF,1670265622
24,sao filipe,14.8961,-24.4956,295.76,68,34,3.18,CV,1670265622
25,broome,42.2506,-75.833,280.63,38,0,4.12,US,1670265623
26,manjo,4.8428,9.8217,296.86,81,89,0.04,CM,1670265623
27,new norfolk,-42.7826,147.0587,283.87,64,100,0.89,AU,1670265624
28,college,64.8569,-147.8028,262.36,86,75,0.0,US,1670265624
29,podor,16.6527,-14.9587,302.2,26,24,2.74,MR,1670265625
30,saint-philippe,-21.3585,55.7679,297.92,81,100,5.56,RE,1670265625
31,waw,7.7029,27.9953,301.31,30,7,2.05,SS,1670265626
32,dikson,73.5069,80.5464,269.3,95,100,6.74,RU,1670265626
33,mahebourg,-20.4081,57.7,298.31,73,40,4.63,MU,1670265627
34,isangel,-19.55,169.2667,297.21,88,23,1.54,VU,1670265627
35,ushuaia,-54.8,-68.3,283.94,49,75,11.83,AR,1670265628
36,coihaique,-45.5752,-72.0662,287.49,82,100,2.06,CL,1670265628
37,muros,42.7762,-9.0603,285.98,83,100,2.37,ES,1670265529
38,luba,3.4568,8.5547,301.09,82,82,3.55,GQ,1670265629
39,qaanaaq,77.484,-69.3632,271.3,88,100,6.88,GL,1670265629
40,castro,-24.7911,-50.0119,297.3,74,59,3.09,BR,1670265629
41,hilo,19.7297,-155.09,298.86,77,40,3.09,US,1670265458
42,goya,-29.14,-59.2626,312.34,17,0,4.47,AR,1670265629
43,cidreira,-30.1811,-50.2056,296.54,82,97,5.05,BR,1670265630
44,noumea,-22.2763,166.4572,299.82,99,100,2.49,NC,1670265630
45,rutland,43.6167,-73.0162,280.4,28,0,4.12,US,1670265630
46,tessalit,20.1986,1.0114,300.89,13,100,4.1,ML,1670265631
47,toora-khem,52.4675,96.11,242.96,99,10,0.25,RU,1670265631
48,touros,-5.1989,-35.4608,301.45,62,16,6.54,BR,1670265623
49,nikolskoye,59.7035,30.7861,269.09,95,100,2.75,RU,1670265631
50,ugoofaaru,5.6667,73.0,298.29,88,100,4.99,MV,1670265632
51,hualmay,-11.0964,-77.6139,295.09,71,12,3.88,PE,1670265632
52,tasiilaq,65.6145,-37.6368,271.24,64,68,2.78,GL,1670265632
53,teguise,29.0605,-13.564,293.27,64,20,3.6,ES,1670265633
54,cherskiy,68.75,161.3,245.73,90,100,2.21,RU,1670265633
55,tombouctou,20.0,-3.0,300.61,14,94,2.06,ML,1670265633
56,albany,42.6001,-73.9662,280.34,49,100,1.34,US,1670265341
57,whitehorse,60.7161,-135.0538,258.58,85,100,1.03,CA,1670265460
58,holme,56.1138,10.1725,275.91,94,100,4.43,DK,1670265634
59,oksbol,55.6268,8.2876,276.21,91,100,6.19,DK,1670265634
60,rusape,-18.5278,32.1284,293.67,40,1,2.55,ZW,1670265634
61,rokytne,51.2796,27.214,267.4,85,37,5.27,UA,1670265635
62,kaduqli,11.0167,29.7167,299.03,27,86,3.61,SD,1670265635
63,bluff,-46.6,168.3333,283.6,83,100,3.33,NZ,1670265635
64,shimoda,34.6667,138.95,280.99,91,100,5.24,JP,1670265636
65,hambantota,6.1241,81.1185,296.34,100,40,0.51,LK,1670265636
66,casper,42.8666,-106.3131,277.99,45,0,8.23,US,1670265547
67,meulaboh,4.1363,96.1285,296.53,93,100,1.99,ID,1670265636
68,bintulu,3.1667,113.0333,299.38,94,40,2.24,MY,1670265637
69,guerrero negro,27.9769,-114.0611,293.07,63,10,6.14,MX,1670265637
70,baykit,61.67,96.37,257.3,95,84,3.26,RU,1670265637
71,iberia,29.9502,-91.7507,299.24,86,100,4.56,US,1670265638
72,butaritari,3.0707,172.7902,300.23,81,100,7.19,KI,1670265638
73,labuhan,-6.8844,112.2051,299.61,80,100,1.12,ID,1670265638
74,nagato,34.3833,131.2,281.18,66,87,6.91,JP,1670265639
75,knysna,-34.0363,23.0471,288.24,81,10,1.47,ZA,1670265639
76,shitanjing,39.2342,106.3439,266.48,48,51,0.46,CN,1670265639
77,huarmey,-10.0681,-78.1522,295.06,73,25,4.03,PE,1670265640
78,kathmandu,27.7167,85.3167,282.27,93,20,1.54,NP,1670265640
79,kiama,-34.6833,150.8667,290.37,93,69,0.45,AU,1670265640
80,inhambane,-23.865,35.3833,300.14,83,20,5.14,MZ,1670265640
81,kurilsk,45.2333,147.8833,272.52,63,99,7.15,RU,1670265641
82,shu,43.5983,73.7614,268.7,93,99,1.03,KZ,1670265641
83,airai,-8.9266,125.4092,288.22,72,100,0.65,TL,1670265641
84,paamiut,61.994,-49.6678,276.06,75,100,15.43,GL,1670265642
85,kozlovo,56.5167,36.2667,264.41,83,100,3.3,RU,1670265642
86,oum hadjer,13.2954,19.6966,300.23,14,57,5.13,TD,1670265642
87,gat,31.61,34.7642,290.59,100,4,1.72,IL,1670265643
88,ossora,59.2353,163.0719,261.39,72,100,5.78,RU,1670265643
89,halifax,44.6453,-63.5724,278.15,61,20,4.12,CA,1670265478
90,geraldton,-28.7667,114.6,293.38,77,100,6.17,AU,1670265643
91,nuuk,64.1835,-51.7216,277.49,75,75,15.43,GL,1670265451
92,grindavik,63.8424,-22.4338,271.41,100,20,2.06,IS,1670265644
93,bambous virieux,-20.3428,57.7575,298.29,73,40,4.63,MU,1670265644
94,busselton,-33.65,115.3333,286.4,84,1,6.01,AU,1670265644
95,krasnoselkup,65.7,82.4667,269.52,93,100,7.26,RU,1670265644
96,huilong,31.8111,121.655,279.63,70,5,3.69,CN,1670265645
97,port hardy,50.6996,-127.4199,273.25,100,75,1.54,CA,1670265645
98,henties bay,-22.116,14.2845,288.24,84,0,4.31,NA,1670265645
99,provideniya,64.3833,-173.3,270.61,93,100,9.41,RU,1670265646
100,avera,33.194,-82.5271,284.47,92,100,2.51,US,1670265646
101,chara,56.9064,118.2631,253.64,76,100,2.45,RU,1670265646
102,pisco,-13.7,-76.2167,295.18,73,75,4.63,PE,1670265647
103,kavaratti,10.5669,72.642,301.03,73,10,2.0,IN,1670265401
104,faanui,-16.4833,-151.75,299.47,78,100,8.11,PF,1670265647
105,skierniewice,51.9548,20.1584,275.4,88,100,2.89,PL,1670265647
106,devgarh,25.5333,73.9,287.61,42,0,2.31,IN,1670265648
107,carnarvon,-24.8667,113.6333,293.78,77,50,7.59,AU,1670265648
108,altayskoye,51.9533,85.3325,257.21,98,100,0.5,RU,1670265648
109,chanute,37.6792,-95.4572,281.21,93,100,2.57,US,1670265648
110,nanortalik,60.1432,-45.2371,274.29,77,95,7.89,GL,1670265649
111,damaturu,11.747,11.9608,296.77,16,24,4.52,NG,1670265649
112,damara,4.9608,18.7035,299.94,45,84,1.9,CF,1670265649
113,bredasdorp,-34.5322,20.0403,288.71,65,100,1.14,ZA,1670265635
114,atuona,-9.8,-139.0333,298.15,78,100,7.43,PF,1670265402
115,seoul,37.5683,126.9778,272.84,63,0,2.57,KR,1670265133
116,khatanga,71.9667,102.5,240.36,100,14,1.52,RU,1670265650
117,bethel,41.3712,-73.414,281.78,44,0,4.63,US,1670265650
118,hovd,48.0056,91.6419,256.47,81,11,1.1,MN,1670265650
119,thompson,55.7435,-97.8558,244.24,63,20,3.6,CA,1670265357
120,monterey,36.2505,-121.2516,285.47,1,10,1.44,US,1670265378
121,port-gentil,-0.7193,8.7815,301.13,83,40,4.63,GA,1670265651
122,san miguel,13.4833,-88.1833,304.93,48,0,1.54,SV,1670265485
123,cape town,-33.9258,18.4232,291.55,62,0,6.17,ZA,1670265499
124,kapaa,22.0752,-159.319,296.59,90,100,2.06,US,1670265651
125,port blair,11.6667,92.75,300.17,83,100,3.6,IN,1670265652
126,mount isa,-20.7333,139.5,292.02,59,0,0.0,AU,1670265652
127,sinnamary,5.3833,-52.95,301.35,69,46,4.67,GF,1670265652
128,saskylakh,71.9167,114.0833,246.18,95,100,7.17,RU,1670265653
129,tigil,57.8,158.6667,261.63,90,100,6.99,RU,1670265653
130,kieta,-6.2167,155.6333,298.96,82,100,1.17,PG,1670265653
131,zemio,5.0314,25.1361,298.46,57,89,1.63,CF,1670265653
132,coquimbo,-29.9533,-71.3436,290.0,82,100,5.14,CL,1670265654
133,nome,64.5011,-165.4064,272.19,80,100,4.63,US,1670265515
134,codrington,-38.2667,141.9667,283.96,73,17,5.16,AU,1670265654
135,ostroh,50.3294,26.5143,270.73,82,100,6.26,UA,1670265654
136,freeport,40.6576,-73.5832,282.65,51,0,4.12,US,1670265655
137,berdigestyakh,62.0989,126.6992,249.15,96,100,3.02,RU,1670265655
138,harper,4.375,-7.7169,299.16,83,100,1.72,LR,1670265655
139,that phanom,16.9364,104.7104,290.75,78,10,3.42,TH,1670265655
140,simao,22.7886,100.9748,284.75,95,44,1.14,CN,1670265656
141,ballina,-28.8667,153.5667,290.94,99,1,2.21,AU,1670265656
142,itoman,26.1247,127.6694,292.16,92,75,10.8,JP,1670265656
143,bereda,43.2686,-7.5406,281.56,100,100,0.54,ES,1670265656
144,nowa deba,50.4297,21.7508,276.45,80,89,3.44,PL,1670265657
145,hofn,64.2539,-15.2082,272.16,86,40,2.06,IS,1670265657
146,victoria,22.2855,114.1577,287.7,65,35,5.81,HK,1670265417
147,safford,32.834,-109.7076,286.66,94,100,0.0,US,1670265606
148,mae sot,16.7167,98.5667,296.16,93,100,0.97,TH,1670265657
149,medzilaborce,49.2719,21.9007,279.34,91,100,3.21,SK,1670265658
150,cabo san lucas,22.8909,-109.9124,304.05,60,40,2.06,MX,1670265413
151,avarua,-21.2078,-159.775,296.18,94,100,3.6,CK,1670265658
152,north miami,25.8901,-80.1867,301.49,61,0,4.47,US,1670265658
153,torbay,47.6666,-52.7314,278.31,95,100,4.12,CA,1670265659
154,sistranda,63.7256,8.834,278.13,67,100,10.56,NO,1670265659
155,marsa matruh,31.3525,27.2453,289.26,77,0,1.54,EG,1670265659
156,tuatapere,-46.1333,167.6833,281.62,95,100,2.53,NZ,1670265659
157,longyearbyen,78.2186,15.6401,261.06,67,75,11.32,SJ,1670265660
158,pevek,69.7008,170.3133,242.82,88,27,2.38,RU,1670265660
159,sandnessjoen,66.0217,12.6316,278.38,85,75,6.17,NO,1670265660
160,tura,25.5198,90.2201,289.35,85,0,1.42,IN,1670265661
161,port macquarie,-31.4333,152.9167,289.76,72,15,2.25,AU,1670265661
162,kodumudi,11.0775,77.8836,295.76,90,100,2.14,IN,1670265661
163,langham,52.3668,-106.9679,247.06,93,74,1.23,CA,1670265662
164,adrar,20.5022,-10.0711,298.23,23,7,0.84,MR,1670265662
165,tuktoyaktuk,69.4541,-133.0374,246.15,69,40,11.32,CA,1670265663
166,tilichiki,60.4667,166.1,261.54,78,100,4.88,RU,1670265664
167,bengkulu,-3.8004,102.2655,296.67,91,100,1.38,ID,1670265664
168,esperance,-33.8667,121.9,288.84,83,100,2.04,AU,1670265664
169,lavrentiya,65.5833,-171.0,268.38,90,100,2.89,RU,1670265664
170,kadoma,34.7333,135.5833,284.14,93,95,3.09,JP,1670265665
171,elbistan,38.2059,37.1983,278.21,68,4,0.18,TR,1670265665
172,aktau,43.65,51.2,261.47,43,0,1.4,KZ,1670265617
173,rawson,-43.3002,-65.1023,304.2,19,100,8.1,AR,1670265520
174,santa cruz,-17.8,-63.1667,310.18,34,40,4.12,BO,1670265666
175,korla,41.7597,86.1469,267.55,41,35,0.93,CN,1670265562
176,kokopo,-4.352,152.2633,297.81,86,100,2.26,PG,1670265666
177,lebu,-37.6167,-73.65,290.59,67,3,2.88,CL,1670265666
178,atasu,48.6814,71.6433,248.07,95,5,2.17,KZ,1670265667
179,biak,-0.9131,122.8766,297.26,82,100,1.4,ID,1670265667
180,chuy,-33.6971,-53.4616,298.22,52,0,4.86,UY,1670265667
181,saldanha,-33.0117,17.9442,291.18,75,100,6.61,ZA,1670265667
182,iqaluit,63.7506,-68.5145,261.0,78,75,2.06,CA,1670265668
183,kahului,20.8947,-156.47,298.06,76,20,4.47,US,1670265155
184,yeppoon,-23.1333,150.7333,293.03,86,0,1.76,AU,1670265668
185,hutchinson,38.0608,-97.9298,285.23,65,0,2.06,US,1670265437
186,vila franca do campo,37.7167,-25.4333,289.93,78,76,5.51,PT,1670265668
187,shelburne,44.0787,-80.2041,277.4,48,100,7.1,CA,1670265669
188,havre-saint-pierre,50.2334,-63.5986,272.35,59,100,4.63,CA,1670265669
189,cockburn town,21.4612,-71.1419,298.97,67,31,9.06,TC,1670265496
190,sitka,57.0531,-135.33,274.09,80,75,2.06,US,1670265669
191,san policarpo,12.1791,125.5072,299.72,76,100,4.55,PH,1670265670
192,mnogovershinnyy,53.9353,139.9242,249.79,91,32,2.73,RU,1670265670
193,zaragoza,41.6561,-0.8773,280.94,73,75,0.51,ES,1670265385
194,harunabad,29.6133,73.1389,289.0,26,4,1.03,PK,1670265670
195,olafsvik,64.8945,-23.7142,277.47,78,23,2.36,IS,1670265671
196,zilupe,56.3862,28.1217,265.27,91,100,3.79,LV,1670265671
197,panzhihua,26.5851,101.7128,281.67,72,0,0.79,CN,1670265671
198,padang,-0.9492,100.3543,297.81,89,100,1.72,ID,1670265672
199,vanimo,-2.6741,141.3028,298.81,89,100,2.53,PG,1670265405
200,kurumkan,54.3,110.3,257.73,90,100,2.68,RU,1670265672
201,candido de abreu,-24.5669,-51.3333,298.16,91,49,1.42,BR,1670265672
202,maldonado,-34.6667,-54.9167,303.81,32,0,5.86,UY,1670265673
203,clyde river,70.4692,-68.5914,262.28,92,100,1.54,CA,1670265673
204,erdenet,49.0333,104.0833,249.95,86,3,2.16,MN,1670265673
205,flinders,-34.5833,150.8552,288.92,90,48,3.18,AU,1670265674
206,saint-joseph,-21.3667,55.6167,297.36,79,100,5.67,RE,1670265674
207,salalah,17.0151,54.0924,299.2,44,20,2.57,OM,1670265652
208,ribeira grande,38.5167,-28.7,290.37,67,20,8.49,PT,1670265674
209,oussouye,12.485,-16.5469,304.25,50,100,2.87,SN,1670265675
210,sorland,67.667,12.6934,277.07,92,100,18.91,NO,1670265675
211,aklavik,68.2191,-135.0107,247.74,87,100,10.12,CA,1670265675
212,nongpoh,25.9,91.8833,287.91,83,0,1.37,IN,1670265676
213,bacolod,10.6667,122.95,297.84,86,32,3.44,PH,1670265676
214,portland,45.5234,-122.6762,278.6,84,20,3.13,US,1670265646
215,jalu,29.0331,21.5482,292.27,34,0,3.39,LY,1670265677
216,san andres,12.5847,-81.7006,303.16,66,40,5.66,CO,1670265677
217,dumai,1.6833,101.45,296.51,99,100,0.9,ID,1670265677
218,davila,18.4726,120.5763,299.14,84,84,10.2,PH,1670265677
219,souillac,-20.5167,57.5167,298.36,73,40,4.63,MU,1670265678
220,maragogipe,-12.7778,-38.9194,299.62,65,100,4.1,BR,1670265678
221,caravelas,-17.7125,-39.2481,298.99,70,100,3.92,BR,1670265678
222,axim,4.8699,-2.2405,299.73,83,32,3.34,GH,1670265679
223,ndola,-12.9587,28.6366,292.87,73,100,3.15,ZM,1670265679
224,kyren,51.6828,102.1408,255.65,79,80,0.76,RU,1670265679
225,riyadh,24.6877,46.7219,297.23,36,89,5.24,SA,1670265595
226,neuquen,-38.9516,-68.0591,306.09,22,0,4.63,AR,1670265680
227,mitsamiouli,-11.3847,43.2844,299.81,78,14,4.57,KM,1670265680
228,dzerzhinskoye,56.8344,95.2283,259.02,79,100,5.45,RU,1670265680
229,bowen,-20.0167,148.2333,297.74,68,0,1.7,AU,1670265681
230,yuci,37.6803,112.7319,265.01,67,0,1.0,CN,1670265681
231,kruisfontein,-34.0033,24.7314,289.75,85,1,3.81,ZA,1670265681
232,katsuura,35.1333,140.3,282.64,94,100,8.63,JP,1670265682
233,kunigal,13.0222,77.0267,292.85,81,27,2.45,IN,1670265682
234,pokhara,28.2333,83.9833,287.09,33,0,2.45,NP,1670265529
235,asyut,27.181,31.1837,292.25,51,0,4.83,EG,1670265682
236,klyuchi,52.2667,79.1667,252.79,99,90,1.95,RU,1670265683
237,marzuq,14.4,46.4667,290.16,53,1,0.83,YE,1670265683
238,punto fijo,11.6956,-70.1996,301.54,58,41,3.19,VE,1670265683
239,norman wells,65.282,-126.8329,243.17,76,75,4.12,CA,1670265684
240,inverell,-29.7833,151.1167,288.36,53,67,1.76,AU,1670265684
241,hobyo,5.3505,48.5268,300.04,78,100,7.32,SO,1670265684
242,roros,62.5747,11.3842,261.06,92,75,2.06,NO,1670265685
243,fairbanks,64.8378,-147.7164,262.37,86,75,0.0,US,1670265681
244,santa fe,-31.6333,-60.7,310.94,25,0,3.58,AR,1670265685
245,lorengau,-2.0226,147.2712,299.06,80,100,1.87,PG,1670265686
246,mata,40.683,-7.4592,283.11,97,100,2.85,PT,1670265686
247,ewa beach,21.3156,-158.0072,299.27,79,20,0.0,US,1670265686
248,wanning,18.8003,110.3967,291.77,89,86,5.22,CN,1670265686
249,praia,14.9215,-23.5087,297.45,60,40,5.66,CV,1670265687
250,pilot butte,50.4668,-104.4178,254.63,68,75,1.54,CA,1670265687
251,hermanus,-34.4187,19.2345,290.26,63,100,1.61,ZA,1670265687
252,kolyshley,52.7005,44.5367,262.2,75,12,1.87,RU,1670265688
253,getulio vargas,-32.6796,-53.5494,302.45,34,0,5.7,UY,1670265688
254,lodja,-3.4833,23.4333,292.91,95,76,0.91,CD,1670265688
255,mopti,14.6667,-4.0,303.17,37,0,4.12,ML,1670265689
256,upernavik,72.7868,-56.1549,270.77,87,37,5.02,GL,1670265689
257,bambanglipuro,-7.95,110.2833,297.77,90,100,1.38,ID,1670265689
258,aden,12.7794,45.0367,298.89,69,5,4.59,YE,1670265689
259,yellowknife,62.456,-114.3525,241.79,68,20,3.6,CA,1670265690
260,nishihara,26.1842,127.7558,291.75,94,75,10.8,JP,1670265690
261,aizkraukle,56.6048,25.2553,267.13,92,100,3.24,LV,1670265690
262,saint george,37.1041,-113.5841,285.06,64,40,0.0,US,1670265691
263,santa isabel do rio negro,-0.4139,-65.0192,304.18,58,96,0.57,BR,1670265691
264,maniitsoq,65.4167,-52.9,275.55,89,100,15.68,GL,1670265691
265,ilulissat,69.2167,-51.1,276.16,48,40,6.17,GL,1670265692
266,zambezi,-13.5432,23.1047,292.01,86,72,3.26,ZM,1670265692
267,marsabit,2.3284,37.9899,293.74,61,79,5.24,KE,1670265692
268,narva-joesuu,59.4589,28.0408,266.85,95,99,3.99,EE,1670265692
269,tiznit,29.5833,-9.5,288.78,79,37,1.11,MA,1670265506
270,pathein,16.7833,94.7333,296.82,80,88,2.15,MM,1670265693
271,oranjemund,-28.55,16.4333,289.15,80,32,7.16,NA,1670265693
272,vryheid,-27.7695,30.7917,289.66,80,74,1.96,ZA,1670265693
273,lagoa,39.05,-27.9833,289.58,68,100,5.03,PT,1670265694
274,awash,8.9833,40.1667,295.63,33,6,1.31,ET,1670265694
275,kununurra,-15.7667,128.7333,300.14,89,75,0.0,AU,1670265694
276,severo-kurilsk,50.6789,156.125,268.41,61,100,11.18,RU,1670265695
277,okahandja,-21.9833,16.9167,296.86,11,11,8.42,NA,1670265695
278,galesong,-5.3166,119.3661,297.16,79,99,1.33,ID,1670265695
279,atagay,55.1033,99.3875,262.81,58,100,6.08,RU,1670265696
280,macau,22.2006,113.5461,288.0,77,40,10.29,MO,1670265696
281,fare,-16.7,-151.0167,299.53,77,7,8.51,PF,1670265696
282,boulder,40.0833,-105.3505,284.93,43,0,8.05,US,1670265697
283,ancud,-41.8697,-73.8203,286.38,94,100,8.88,CL,1670265697
